venta_id,cliente_id,fecha_venta,producto_id,cantidad,precio_unitario,total_venta,canal_venta
2025-175,161,2025-11-27,2,2,330815,661630,Tienda Física
2025-176,138,2025-12-04,6,3,408499,1225497,Tienda Física
2025-177,77,2025-06-23,3,2,797301,1594602,Web
2025-178,91,2025-08-26,3,2,92409,184818,Web
2025-179,73,2025-04-17,1,3,244864,734592,Web
2025-180,182,2025-02-06,1,2,4417714,8835428,Tienda Física
2025-181,258,2025-02-27,3,3,3607245,10821735,App
2025-182,168,2025-04-24,4,3,15668,47004,Tienda Física
2025-183,92,2025-01-18,2,3,640421,1921263,Tienda Física
2025-184,186,2025-07-04,5,4,631781,2527124,Tienda Física
2025-185,61,2025-12-29,6,4,476755,1907020,Tienda Física
2025-186,129,2025-11-07,3,2,86709,173418,App
2025-187,121,2025-04-12,6,1,277247,277247,Web
2025-188,133,2025-07-21,4,1,434390,434390,Tienda Física
2025-189,109,2025-10-30,4,3,354866,1064598,Web
2025-190,129,2025-07-15,4,4,495687,1982748,App
2025-191,23,2025-06-02,5,1,136270,136270,App
2025-192,52,2025-12-10,1,1,777286,777286,App
2025-193,32,2025-02-24,5,4,596349,2385396,App
2025-194,177,2025-12-28,2,3,414303,1242909,Web
2025-195,213,2025-11-13,1,2,647938,1295876,Web
2025-196,35,2025-02-08,6,1,758149,758149,Web
2025-197,87,2025-03-17,3,2,16968,33936,Tienda Física
2025-198,214,2025-10-12,5,3,242076,726228,App
2025-199,112,2025-02-14,1,3,177527,532581,Web
2025-200,134,2025-04-18,2,2,481797,963594,Web
2025-201,209,2025-05-06,3,4,313602,1254408,App
2025-202,122,2025-05-18,4,3,39345,118035,Web
2025-203,234,2025-01-28,3,2,796086,1592172,Tienda Física
2025-204,47,2025-09-03,3,2,317086,634172,App
2025-205,152,2025-03-13,3,1,25534,25534,Web
2025-206,19,2025-07-14,2,4,768761,3075044,Web
2025-207,141,2025-09-03,1,2,735084,1470168,Tienda Física
2025-208,205,2025-02-17,1,1,80463,80463,Web
2025-209,295,2025-05-08,2,1,130076,130076,Web
2025-210,282,2025-11-01,3,3,171081,513243,Web
2025-211,103,2025-11-05,1,1,46413,46413,Web
2025-212,171,2025-01-25,3,1,697490,697490,Tienda Física
2025-213,29,2025-04-27,3,4,188969,755876,Web
2025-214,156,2025-03-14,1,1,436488,436488,App
2025-215,118,2025-08-21,6,1,407650,407650,Tienda Física
2025-216,271,2025-05-19,5,2,571693,1143386,Web
2025-217,232,2025-05-26,3,4,454975,1819900,App
2025-218,224,2025-05-16,6,2,12763,25526,Tienda Física
2025-219,185,2025-12-26,4,3,690667,2072001,Web
2025-220,49,2025-06-22,2,2,454972,909944,App
2025-221,20,2025-08-09,3,2,513516,1027032,Tienda Física
2025-222,3,2025-07-01,6,4,55095,220380,Tienda Física
2025-223,62,2025-05-12,3,4,360067,1440268,Tienda Física
2025-224,122,2025-04-17,3,2,603130,1206260,App
2025-225,62,2025-09-13,1,1,666030,666030,App
2025-226,207,2025-02-17,1,4,686999,2747996,Web
2025-227,250,2025-11-10,5,4,173244,692976,App
2025-228,295,2025-11-10,4,1,73972,73972,Tienda Física
2025-229,192,2025-02-13,5,3,570219,1710657,Web
2025-230,220,2025-08-03,3,1,353615,353615,App
2025-231,292,2025-09-02,6,2,94811,189622,App
2025-232,269,2025-09-24,6,4,464151,1856604,Tienda Física
2025-233,40,2025-08-25,3,2,208237,416474,App
2025-234,204,2025-05-18,4,3,766942,2300826,Web
2025-235,218,2025-01-02,2,4,59522,238088,App
2025-236,279,2025-05-26,6,4,777344,3109376,App
2025-237,294,2025-08-27,3,2,627693,1255386,Web
2025-238,129,2025-06-22,4,1,271497,271497,App
2025-239,269,2025-12-22,6,2,455414,910828,Web
2025-240,207,2025-10-06,6,4,35939,143756,App
2025-241,204,2025-06-10,4,4,625168,2500672,Web
2025-242,63,2025-01-22,6,1,4885599,4885599,Tienda Física
2025-243,79,2025-01-05,4,4,436673,1746692,App
2025-244,217,2025-02-25,6,3,185607,556821,Tienda Física
2025-245,104,2025-03-18,6,2,631825,1263650,Tienda Física
2025-246,182,2025-09-13,6,4,496675,1986700,Tienda Física
2025-247,287,2025-04-01,5,2,453842,907684,Web
2025-248,163,2025-12-17,5,1,479450,479450,Tienda Física
2025-249,291,2025-03-27,6,3,436903,1310709,App
2025-250,183,2025-07-26,3,2,709746,1419492,Tienda Física
2025-251,208,2025-07-16,5,1,106393,106393,Tienda Física
2025-252,25,2025-03-09,5,1,604302,604302,Tienda Física
2025-253,171,2025-03-15,5,3,506915,1520745,Tienda Física
2025-254,139,2025-04-20,2,3,520491,1561473,Web
2025-255,191,2025-11-11,5,3,700955,2102865,App
2025-256,246,2025-04-23,2,4,614056,2456224,App
2025-257,203,2025-10-15,3,1,553898,553898,Tienda Física
2025-258,182,2025-07-29,3,1,232123,232123,Web
2025-259,59,2025-12-11,1,2,618713,1237426,App
2025-260,64,2025-11-23,4,1,683422,683422,App
2025-261,214,2025-08-30,1,1,69821,69821,App
2025-262,112,2025-02-28,3,3,96795,290385,App
2025-263,20,2025-08-10,6,3,508843,1526529,App
2025-264,94,2025-01-13,5,2,428596,857192,Web
2025-265,230,2025-11-18,4,2,795945,1591890,Tienda Física
2025-266,299,2025-05-30,4,4,531244,2124976,App
2025-267,209,2025-05-08,4,4,449439,1797756,App
2025-268,235,2025-01-07,5,3,470014,1410042,Tienda Física
2025-269,181,2025-08-03,1,3,497602,1492806,Web
2025-270,234,2025-08-27,1,4,437214,1748856,Tienda Física
2025-271,222,2025-10-03,4,3,400452,1201356,Tienda Física
2025-272,268,2025-09-30,2,2,625324,1250648,Tienda Física
2025-273,11,2025-04-08,2,3,438395,1315185,App
2025-274,290,2025-09-08,4,2,42101,84202,App
2025-275,52,2025-09-28,5,4,767634,3070536,Web
2025-276,126,2025-10-23,4,4,241318,965272,Tienda Física
2025-277,110,2025-07-11,5,2,65863,131726,App
2025-278,39,2025-01-28,1,4,723340,2893360,Web
2025-279,36,2025-04-11,2,2,202003,404006,Tienda Física
2025-280,166,2025-12-10,6,2,754822,1509644,Tienda Física
2025-281,96,2025-07-09,5,4,579829,2319316,App
2025-282,128,2025-08-26,3,4,745035,2980140,App
2025-283,145,2025-03-06,2,1,433350,433350,App
2025-284,181,2025-07-03,2,1,234021,234021,Web
2025-285,89,2025-06-25,2,3,326363,979089,Web
2025-286,106,2025-09-28,5,1,111407,111407,Web
2025-287,40,2025-05-28,2,3,246500,739500,App
2025-288,208,2025-07-20,4,4,2597202,10388808,Tienda Física
2025-289,249,2025-08-15,2,4,474310,1897240,Tienda Física
2025-290,196,2025-07-06,1,4,119373,477492,Web
2025-291,229,2025-03-18,1,4,536169,2144676,App
2025-292,95,2025-11-06,4,4,748854,2995416,Web
2025-293,160,2025-07-06,6,3,339125,1017375,Web
2025-294,222,2025-05-11,5,2,127473,254946,App
2025-295,96,2025-07-19,6,1,166877,166877,Tienda Física
2025-296,256,2025-07-06,4,1,654894,654894,Web
2025-297,255,2025-11-21,6,4,685160,2740640,Tienda Física
2025-298,287,2025-09-11,5,2,685302,1370604,Tienda Física
2025-299,13,2025-02-14,2,2,214720,429440,Web
2025-300,273,2025-02-27,2,3,96124,288372,Tienda Física
2025-301,174,2025-11-24,3,2,732030,1464060,Tienda Física
2025-302,269,2025-08-17,1,4,343272,1373088,Web
2025-303,272,2025-01-02,6,2,207478,414956,Web
2025-304,96,2025-08-09,6,2,447585,895170,Web
2025-305,171,2025-04-04,5,4,351558,1406232,Web
2025-306,116,2025-05-23,1,4,389593,1558372,Tienda Física
2025-307,53,2025-06-29,6,1,4856188,4856188,App
2025-308,1,2025-02-13,3,3,285553,856659,Web
2025-309,288,2025-09-28,4,1,99037,99037,Web
2025-310,72,2025-06-04,6,4,494672,1978688,Tienda Física
2025-311,232,2025-02-11,6,3,169882,509646,Tienda Física
2025-312,171,2025-12-17,1,1,512175,512175,App
2025-313,221,2025-08-01,5,4,478535,1914140,App
2025-314,102,2025-07-11,3,2,638423,1276846,Web
2025-315,227,2025-05-19,1,1,295810,295810,App
2025-316,63,2025-04-14,3,3,506283,1518849,Tienda Física
2025-317,273,2025-01-06,3,4,726773,2907092,App
2025-318,38,2025-04-29,5,3,238931,716793,App
2025-319,218,2025-06-26,3,4,236572,946288,App
2025-320,288,2025-04-15,4,3,430539,1291617,App
2025-321,83,2025-07-05,4,3,720381,2161143,Tienda Física
2025-322,284,2025-07-29,1,3,145639,436917,App
2025-323,137,2025-07-03,4,3,360679,1082037,Tienda Física
2025-324,142,2025-08-25,1,3,238129,714387,Tienda Física
2025-325,250,2025-04-28,2,1,248483,248483,App
2025-326,211,2025-11-19,5,3,554026,1662078,Web
2025-327,271,2025-06-12,4,1,287785,287785,Tienda Física
2025-328,162,2025-12-17,2,4,612251,2449004,Tienda Física
2025-329,132,2025-03-28,1,2,783720,1567440,App
2025-330,158,2025-05-29,1,4,605376,2421504,App
2025-331,294,2025-09-10,2,2,553597,1107194,Tienda Física
2025-332,25,2025-10-04,1,2,288404,576808,App
2025-333,113,2025-12-29,4,3,182502,547506,Tienda Física
2025-334,18,2025-05-29,4,3,216486,649458,Tienda Física
2025-335,40,2025-08-30,2,1,148419,148419,Web
2025-336,200,2025-07-22,5,4,458377,1833508,Web
2025-337,181,2025-11-07,5,4,555210,2220840,Web
2025-338,197,2025-03-14,3,4,236817,947268,Web
2025-339,188,2025-11-03,6,3,290539,871617,Tienda Física
2025-340,90,2025-07-24,3,4,367820,1471280,Web
2025-341,220,2025-04-04,1,3,303561,910683,Web
2025-342,184,2025-06-11,4,1,511323,511323,Web
2025-343,278,2025-02-09,5,3,751184,2253552,Web
2025-344,191,2025-07-01,2,1,277598,277598,Web
2025-345,22,2025-06-15,3,1,57111,57111,App
2025-346,175,2025-09-30,1,2,332137,664274,Web
2025-347,145,2025-06-15,1,4,227516,910064,App
2025-348,163,2025-01-14,5,3,4377559,13132677,Web
2025-349,283,2025-09-26,1,3,281604,844812,Tienda Física
2025-350,60,2025-01-06,5,2,663881,1327762,Web
2025-351,217,2025-01-26,5,2,152867,305734,App
2025-352,198,2025-02-28,2,2,347283,694566,Web
2025-353,249,2025-01-14,6,1,463510,463510,Tienda Física
2025-354,19,2025-03-04,3,3,682747,2048241,Tienda Física
2025-355,100,2025-06-12,2,4,675643,2702572,Web
2025-356,145,2025-11-23,3,2,703312,1406624,Tienda Física
2025-357,288,2025-06-13,5,2,2855738,5711476,App
2025-358,239,2025-11-20,3,4,670187,2680748,App
2025-359,284,2025-12-18,5,2,678958,1357916,Tienda Física
2025-360,246,2025-05-16,3,3,483288,1449864,Tienda Física
2025-361,45,2025-09-21,4,3,699129,2097387,Web
2025-362,286,2025-08-18,2,2,157878,315756,App
2025-363,171,2025-06-22,5,2,67221,134442,App
2025-364,108,2025-01-04,5,3,769401,2308203,App
2025-365,271,2025-04-06,1,1,199651,199651,App
2025-366,112,2025-11-19,2,3,367776,1103328,Tienda Física
2025-367,297,2025-08-02,6,3,355280,1065840,App
2025-368,247,2025-09-24,5,3,697081,2091243,Tienda Física
2025-369,76,2025-03-28,6,1,335137,335137,Web
2025-370,251,2025-08-21,1,3,88537,265611,Tienda Física
2025-371,125,2025-06-24,5,3,307843,923529,Tienda Física
2025-372,30,2025-10-08,4,2,173052,346104,Tienda Física
2025-373,25,2025-03-15,6,2,625416,1250832,App
2025-374,94,2025-05-07,1,1,429149,429149,Tienda Física
2025-375,116,2025-02-17,2,2,741234,1482468,Tienda Física
2025-376,11,2025-03-26,5,2,358844,717688,Tienda Física
2025-377,209,2025-03-05,2,4,188296,753184,App
2025-378,54,2025-11-27,1,3,322849,968547,Tienda Física
2025-379,187,2025-12-12,6,1,89211,89211,Tienda Física
2025-380,239,2025-10-31,2,4,435659,1742636,Web
2025-381,246,2025-05-10,2,3,670046,2010138,Tienda Física
2025-382,72,2025-09-20,6,3,164599,493797,Web
2025-383,254,2025-02-12,1,3,747744,2243232,Web
2025-384,8,2025-11-21,2,4,586291,2345164,App
2025-385,175,2025-03-17,5,2,125657,251314,Tienda Física
2025-386,180,2025-05-04,5,1,751570,751570,Tienda Física
2025-387,228,2025-10-02,5,2,406308,812616,Web
2025-388,27,2025-11-07,4,1,351651,351651,Web
2025-389,164,2025-08-12,2,1,30323,30323,App
2025-390,45,2025-10-02,2,1,791738,791738,App
2025-391,221,2025-12-22,6,4,792259,3169036,Tienda Física
2025-392,231,2025-02-07,6,4,98302,393208,Tienda Física
2025-393,148,2025-01-09,4,2,93793,187586,Web
2025-394,126,2025-03-16,5,2,560841,1121682,Web
2025-395,290,2025-03-18,2,1,610198,610198,Tienda Física
2025-396,159,2025-06-12,1,1,588748,588748,Tienda Física
2025-397,95,2025-06-30,2,3,257667,773001,App
2025-398,130,2025-07-13,4,4,108064,432256,App
2025-399,245,2025-04-17,1,3,174726,524178,Web
2025-400,4,2025-11-23,2,3,100417,301251,Tienda Física
2025-401,209,2025-08-13,3,4,534608,2138432,Tienda Física
2025-402,181,2025-04-16,2,2,370215,740430,Tienda Física
2025-403,296,2025-11-02,3,3,312274,936822,Tienda Física
2025-404,283,2025-07-01,2,1,694687,694687,App
2025-405,182,2025-01-30,4,2,374315,748630,Web
2025-406,96,2025-09-23,4,2,776759,1553518,Web
2025-407,42,2025-10-30,5,2,501215,1002430,Web
2025-408,22,2025-07-04,4,2,331898,663796,Tienda Física
2025-409,41,2025-12-02,2,4,64745,258980,Web
2025-410,12,2025-03-14,4,2,55256,110512,App
2025-411,226,2025-06-25,4,3,128843,386529,App
2025-412,124,2025-06-13,6,3,486545,1459635,Tienda Física
2025-413,57,2025-03-19,2,1,313630,313630,Web
2025-414,156,2025-12-06,5,3,157735,473205,Web
2025-415,110,2025-11-30,5,2,200167,400334,App
2025-416,162,2025-05-08,2,4,236453,945812,App
2025-417,36,2025-06-22,4,2,352221,704442,Tienda Física
2025-418,217,2025-04-06,1,1,541985,541985,App
2025-419,195,2025-05-31,5,3,543903,1631709,Tienda Física
2025-420,149,2025-04-14,3,2,569070,1138140,App
2025-421,198,2025-12-03,5,3,791453,2374359,Web
2025-422,199,2025-02-15,4,1,567665,567665,Web
2025-423,109,2025-10-10,4,3,780663,2341989,Tienda Física
2025-424,206,2025-12-01,3,1,657952,657952,Tienda Física
2025-425,110,2025-07-09,5,3,525795,1577385,Tienda Física
2025-426,133,2025-07-20,5,2,19726,39452,Web
2025-427,95,2025-10-05,2,1,293460,293460,Tienda Física
2025-428,89,2025-03-13,1,4,336571,1346284,Tienda Física
2025-429,96,2025-03-16,6,4,583340,2333360,App
2025-430,218,2025-01-16,3,4,167753,671012,Web
2025-431,111,2025-05-09,1,2,628396,1256792,App
2025-432,8,2025-01-29,3,1,319378,319378,Tienda Física
2025-433,197,2025-12-30,4,4,748924,2995696,Web
2025-434,167,2025-09-17,3,2,247330,494660,App
2025-435,173,2025-06-20,5,1,245707,245707,Web
2025-436,86,2025-02-21,5,1,464485,464485,Tienda Física
2025-437,211,2025-07-19,2,2,587263,1174526,Tienda Física
2025-438,26,2025-10-26,5,4,128920,515680,Tienda Física
2025-439,240,2025-02-08,3,4,195550,782200,Tienda Física
2025-440,267,2025-06-03,2,3,746778,2240334,App
2025-441,98,2025-10-02,6,2,670197,1340394,Web
2025-442,220,2025-03-06,3,4,415831,1663324,Tienda Física
2025-443,52,2025-09-20,3,3,513100,1539300,Web
2025-444,154,2025-12-24,6,4,742722,2970888,Web
2025-445,46,2025-11-05,1,1,739688,739688,Web
2025-446,118,2025-02-23,1,4,550277,2201108,Tienda Física
2025-447,7,2025-05-02,3,4,695493,2781972,Web
2025-448,215,2025-10-06,2,4,616954,2467816,Tienda Física
2025-449,26,2025-02-23,5,3,279152,837456,App
2025-450,35,2025-10-13,4,1,594642,594642,App
2025-451,93,2025-06-22,6,4,142018,568072,App
2025-452,106,2025-02-16,5,4,730117,2920468,App
2025-453,87,2025-08-05,2,3,369701,1109103,Web
2025-454,210,2025-06-18,2,2,93384,186768,Tienda Física
2025-455,230,2025-11-04,1,1,615108,615108,App
2025-456,4,2025-05-12,3,2,2135090,4270180,Web
2025-457,71,2025-06-27,1,1,342066,342066,Web
2025-458,292,2025-09-01,3,3,769066,2307198,App
2025-459,146,2025-06-05,4,1,4309305,4309305,Tienda Física
2025-460,47,2025-09-08,3,3,620724,1862172,Web
2025-461,39,2025-10-31,6,2,222456,444912,App
2025-462,158,2025-10-05,3,2,81947,163894,App
2025-463,292,2025-01-18,2,1,563214,563214,Tienda Física
2025-464,253,2025-09-14,2,2,15209,30418,Web
2025-465,70,2025-02-13,6,3,740212,2220636,App
2025-466,95,2025-09-11,5,2,574984,1149968,App
2025-467,33,2025-08-17,4,2,60013,120026,Tienda Física
2025-468,246,2025-11-28,5,1,437709,437709,Web
2025-469,271,2025-09-15,4,3,407172,1221516,App
2025-470,274,2025-09-16,3,2,691707,1383414,App
2025-471,186,2025-12-30,3,3,761993,2285979,Tienda Física
2025-472,68,2025-07-29,4,1,564081,564081,Web
2025-473,22,2025-06-21,6,2,327942,655884,Web
2025-474,85,2025-02-24,3,4,360046,1440184,App
2025-475,167,2025-08-12,4,3,707974,2123922,Web
2025-476,265,2025-05-30,5,3,630740,1892220,App
2025-477,53,2025-11-26,3,3,133769,401307,Tienda Física
2025-478,123,2025-12-05,2,4,100140,400560,Tienda Física
2025-479,35,2025-01-06,4,3,308277,924831,Web
2025-480,147,2025-03-08,2,4,309182,1236728,Tienda Física
2025-481,85,2025-02-14,5,3,455935,1367805,Web
2025-482,15,2025-11-23,6,2,765477,1530954,Web
2025-483,1,2025-09-23,3,4,544125,2176500,Web
2025-484,12,2025-12-11,1,4,724221,2896884,App
2025-485,279,2025-06-20,6,3,123604,370812,Tienda Física
